title,poem,tags,is_love_poem,decade
Fødselsdagsdikt,"Slik just jeg mins dig

fra ungdommens tid:

Storraadig, selvglad,

tidt lysten paa strid,

eggende blodvarm

ved mændees stevne,

fuldrik paa skjønhet,

end mere paa evne.



Dog mot hver den, som

hos dig søkte vern,

dronninggod øm og

beskyttende fjern.

Husker, jeg tænkte

En sagaens kvinde

er det, hun ligner,

dypt farlig at vinde.



Burde med hærmænd

hver kveld peliet raad,

dristig dem egget

til elskov og daad . . .

Intet at undre

sig paa, om ved siden

av dig hver elsker

blev fattig og liten.



Paa hvad du gav dem,

vandt makt de og ry.

 bare tapte

og tapte paany.

Hver gang dit hjerte

du aapnet, saa trængte

spydsodden ind, hvor

dets krater den sprængte.



Hvorfor? Saa tidt har

jeg lett efter svar:

Kanske for ursterk

og mæktig du var.

Just for at redde

sig oprør de gjorde

mot, hvad i dig er

det blinde og store.



Tiden, jo heter

det, læger hvert saar.

Helte den ,

blev skorpen dog haard.

Ind under verket

i ufred og brændte

vildt trods dit hovmod

dog skammen, du kjendte.



Vikingkvinde

med vikingehu

sitter i skyggen

du graahaaret nu?

Hvas er din tunge,

end hvassere øiet.

Trampet og sveket,

ei blev dog bøiet.



Dagstrøtt du verner

dig gods med forstand

vækkes dog stundom

av vundernes brand,

længter mot elskov,

mot favntakets hete,

husker din alder

og blusser av vrede.



Ser saa en ungmø

du svæve avsted

let henad jorden

med sorgløse fjed,

mins du den krigsplikt,

 fuldbringe maatte:

Hjerteblod kostet

hvert skridt som du traadte.



Vikingekvinde,

da mørkner dit blik:

Mænd, vil I vite

den vei, som du gik,

følg da det blodspor,

fra vuggen jeg levnet,

stans først i graven

og se, hvad jeg evnet!","Et liv i dikt, Nils Collett Vogt, Alle dikt alfabetisk, Dikt skrevet på 1900-tallet, Bursdag",0,1900
Ting og greier av meg Då!,"Dytt henne hardere 

Spark henne hardere 

Slå henne hardere 

Spytt mer på henne 

Le mer av henne 

Få hun enda mer lei seg 

Fortell hvor dårlig hun er 

Si at hun ikke er god nok 





Jeg hater livet 

Jeg hater folkene  

Jeg hater skolen med dem 

Jeg prøver å være sterk 

Jeg prøver å ikke gråte  

Jeg prøver å være normal 

Jeg prøver å leve 

Jeg prøver å komme meg hjem 



 

Vi ser hun prøver å være sterk 

Vi ser hun prøver å få venner 

Vi ser hun gjør sitt beste med det hun har 

Vi ser alle blå merkene 

Vi ser alle skadene 

Vi ser alle skrapene 

Vi ser hun vil ikke mer","Mobbing, Jo4kimR, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet",0,2000
Arbeidsløs jul,"Vi som er dømt til livet

i gråbeingårdenes by

feirer i dag en solfest

for ham, som er født på ny.



Vi har fått tyve kroner

å feire hans komme med!

For dem har vi kjøpt en julegran

og en hel sekk ved.



For dem har vi kjøpt en bayer

og et stykke hestekjøtt.

Det siste skal minne om stallen

hvor frelseren blev født. 



De fattiges herre og mester!

Det var ikke godt for ham.

Han hengtes til slutt på korset

midt mellom synd og skam.



Godt det er bare en skrøne

at Kristus er kommet påny.

Så blir det en fattig mindre

å nagle på kors i vår by.



Vi i de mørke gater

feirer i dag en fest.

Til jul får vi tyve kroner,

til påske: Korsfest! Korsfest!","På stengrunn, Rudolf Nilsen, Dikt skrevet på 1900-tallet, Alle dikt alfabetisk, Jul",0,1900
Jeg elsker deg,"Jeg elsker deg, du er så ærlig

Jeg elsker deg, du er deg selv

Jeg elsker deg, du smiler alltid

Jeg elsker deg, du er så vennlig

Jeg elsker deg, du er smart

Jeg elsker deg, du tenker på andre

Jeg elsker deg, elsker du meg?","Fantasien, Kjærlighet, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet",1,2000
Johan Sverdrup,"Det unge Norge samled sig i Leir,

det fylked sig og slog, til det vandt Seir.

Der vaiede et Banner over Leiren,

i Stridens haarde Dyst og over Seiren.

        Og det var Johan Sverdrups Navn.



En rastløs Arbeidsaand, en Sjæl i Brand,

en Tolk, en Fører for sit Folk og Land,

- til Alderdommen kom, af Stormvind baaret,

og dryssed ham sit hvidgraa Rim i Haaret

        og hylled sig omkring hans Navn.



Men Manden var for stor, hans Navn for stort

til at bli glemt ved slig at dølges bort.

Han var saa stor, at han ei  bli liden.

Han selv er borte, - vokse vil med Tiden

        dog endnu Johan Sverdrups Navn.



Og staar det unge Norge ei idag

med blottet Hoved og med sænket Flag,

da er det Norge selv, som saadan lønner,

at det har ingen Ret til store Sønner.

        - Men Fred med Johan Sverdrups Navn!","Per Sivle, Begravelse, Skaldemaal, Alle dikt alfabetisk, Dikt skrevet på 1800-tallet",0,1800
Minne.,"er var ei Gong ei fager Tid,

daa Barneaar til Ungdom vaara,

daa Lauv og Blomar kunde daara,

daa alting enn var Poesi.



Der var ei Gong ei fager Tid,

eg laag paa blanke Fjord og vogga,

med Barmen full, med Auga dogga,

med' store Syner gleid forbi.



Den Tid daa endaa Ysma dylgde

baad' kvasse Kantar og Avgrunnar,

daa varme Ord fraa friske Munnar

paa all mi Ferd meg kjærleg fylgde.



Den Tid daa endaa ei mi Kraft

var melt i Livsens Strid og Sut,

daa aldri Sorg eg hadde havt,

som ikkje kunde graatast ut.



Men Aari gaar, og mangt ein møter,

som brigder det ein hever tenkt;

ein fær paa Ferdi saare Føter,

og faa naar Maale for sin Lengt.","Alle dikt alfabetisk, Dikt skrevet på 1800-tallet, Lars Jaastad, Dikt på nynorsk, Nynorsk",0,1800
Venner for livet,"Lyttende ører

et smil som forstår

gir lettere bører

leger sjelens sår



Tanker som deles

en hjelpende hånd

sorger som kveles

av vennskapets bånd



Smil blir til tårer

og tårer til smil

sannhet som sårer

men fjerner all tvil



Evig fortrolighet

i riktig og galt

et vennskap med ærlighet

tåler jo alt","Vennskap, Dikt skrevet på 2000-tallet, Ekteskap, Alle dikt alfabetisk",0,2000
Kunne ønske jeg hadde reddet deg,"Det som en gang var to 

Var blitt en



Det som en gang var to bestevenner 

Var blitt en enslig tanke



Det som en gang var to vakre og håpefulle drømmer 

Var blitt et forferdelig mareritt 



Den eneste tanken 

Var at det var min feil





Det var min feil

Jeg kunne reddet

Men gjorde ikke



En liten kule gjennom hodet

Og alt er over

Ingen lidelser  

Ingen sorg



En liten fingerbevegelse

Og alt er over





Avtrekkeren gikk sakte innover 

Kulen skrek

og alt var over



Ingen flere følelser 

Ingen flere lidelser

ingenting","Vennskap, Alle dikt alfabetisk, Dikt skrevet på 2000-tallet",0,2000
Vaardag,"Aa nei, for Himil rein og klaar!

Aa sæle meg, no er det Vaar!

No spelar Liv um Land og Strand;

aa sæle meg, at upp eg vann!



Aa nei, for Dag vaar Herre gav!

So skirt um Fjell, so svalt i Hav!

So linn ei Luft, so høgt um Haug!

Og dette sæle Solskinslaug!



Aa nei, eg høyrer Lerka slaa

upp under bleike Himilblaa;

mot Kvelv ho stig med Songen sin;

snart naar ho visst i Himlen inn.



Sjaa Maaken ror fraa klaare Nut

i stille Tak mot Have ut;

og Fugl det kvitrar, kved og syng

i Tun og Tre, i Lund og Lyng.



Og aa, som Soli lognar trygg

som Varmeflaum um Barm og Rygg!



Og gjenom all den milde Dag,

det mjuke, salte Havsens Drag!



Det brydder Straa, det sveller Knupp,

og Sevja stig i Trée upp;

ein Daam det vaknar søt og tung . . .

Aa sæle meg som er so ung!","Vår, Haugtussa, Arne Garborg, Dikt skrevet på 1800-tallet, Alle dikt alfabetisk",0,1800
Lærer,"Den beste læreren er også den beste personen, 

uansett så er læreren best","Alle dikt alfabetisk, Dikt skrevet på 2000-tallet, Korte dikt",0,2000
